,refs
61,"According to this idea, recently formed memories that have not yet had a chance to consolidate are vulnerable to the interfering force of mental activity and memory formation (even if the interfering activity is not similar to the previously learned material)."
62,
63,
64,
65,
66,
67,
68,This manual provides an introduction that brings together findings from several disciplines and sets them out in a clear and consistent manner. This chapter also emphasizes both the explicit and the implicit assumptions underlying the fundamental model.
69,"In this work, we analyze the spatial adoption dynamics of iWiW, an Online Social Network (OSN) in Hungary and uncover empirical features about the spatial adoption in social networks."
70,
71,(2005) to explore e-Government capacity building such that value for the taxpayer is realised.
72,This paper explores the appropriateness of the t-government agenda by drawing upon lessons learned from the preceding e-government era.
73,The purpose of this research was to develop a model of how managers construe organizational events as a change unfolds.
74,"Kimberly presents a case study of the birth and early development of an innovative medical school. He says that a new organization creates new norms, values, and procedures whereas the elements of an existing organization interact within an established culture."
75,
76,
77,"[Excerpt] Our primary aims in this effort are twofold: to clarify the independent theoretical contributions of institutional theory to analyses of organizations, and to develop this theoretical perspective further in order to enhance its use in empirical research. There is also a more general, more ambitious objective here, and that is to build a bridge between two distinct models of social actor that underlie most organizational analyses, which we refer to as a rational actor model and an institutional model."
78,"This second edition provides an unparalleled synthesis of developments in Australia, Belgium, Canada, Finland, France, Germany, Italy, the Netherlands, New Zealand, Sweden, the UK, the USA, and the European Commission."
79,"This chapter analyzes the belated response of the state government of Bahia to African American tourism, examining how the inertia that dominated since the late 1970s was later replaced by a more proactive, although still inadequate, position, when the state tourism board, Bahiatursa, founded the Coordination of African Heritage Tourism to cater specifically to the African American roots tourism niche."
80,This interpretive case study examines knowledge brokering as an aspect of the work of information technology professionals. The purpose of this exploratory study is to understand knowledge brokering from the perspective of IT professionals as they reflect upon their work practice.
81,"The objective of this article is to present an insight into how Denmark and the Netherlands seek to coordinate the integration of electronic service deliveryand examines the similarities and differences between the two countries' approaches. The focus is on ICT projects, where central government and municipalities both participate in integrated digital solutions."
82,
83,
84,This paper seeks to explore the sources of influence in the adoption of this innovation.
85,
86,"To help public administrators think about e-government and their organizations, this article describes different stages of e-government development and proposes a 'stages of growth ' model for fully functional e-government."
87,
88,"This paper suggests that notions of the ""learning organization"" have often emphasied internal aspects of the change process and neglected the external. This view affords an information perspective of change in the organization, and a revealing contrast to the usual organizational perspective. It has profound implications for those who seek to understand and manage the process of change."
89,"In this article, the author tries to find a sound explanation for both the failure of Tessec, and the success of the MR systems. As he argues, this explanation can be found in a shift in attitude towards the role of legislation during the past decade."
90,"This paper provides a comprehensive assessment of government-supported economic analysis of regulation. To address this situation, we recommend pursuing an agenda in which economics plays a more central role in regulatory decision making."
91,
92,"In this paper, we apply static and dynamic versions of a smooth ambiguity model to climate mitigation policy."
93,This chapter examines the increasingly serious impacts on people as the world warms. This chapter examines how the physical changes in climate .
94,
95,
96,
97,This paper asks how much we might be misled by our economic assessment of climate change when we employ a conventional quadratic damages function and/or a thin-tailed probability distribution for extreme temperatures.
98,"Because of limited space, that difference is the focus of this chapter."
99,"In this paper, we propose some practical steps for setting prices in the face of these difficulties, drawing on the example of climate change."
