,refs
18,"Understanding the population dynamic balance between the organisms of the phyllosphere as an ecological system should lead to new approaches in agronomy, crop protection and breeding that enhance sustainability, where the previously presumed requirement to eliminate putative pathogens is replaced by management that favours dominance of beneficial organisms and contains putative pathogens in asymptomatic or stable states."
19,
20,We investigated whether the genotype of the host tree influences community structure of foliar fungi.
21,
22,This paper presents the negative impact of seed borne fungi and their implication in food safety.
23,This action research aims to investigate how technology improves the conditions of storytelling to help enhance the learning attitude and motivation of EFL children with learning difficulty using power point designs and an online recording system--VoiceThread (http://voicethread.com/). The use of power point designs is to assure children of clear illustrations and print during storytelling.
24,This study examines whether teachers' self-perceived knowledge about oral English teaching differs with regard to their professional profiles in the English as a Foreign Language (EFL) context in China.
25,
26,
27,The paper critiques EIA and argues that any major language development project needs to consider the local context and learners' views on language learning for its success.
28,
29,
30,
31,"The purpose of this paper is to report on the nature of collaboration in a multi-year, large-scale collaborative action research project in which a teachers' federation (in Ontario, Canada), university researchers and teachers partnered to investigate teacher-selected topics for inquiry."
32,This study addressed 1525 Jordanian EFL school learners' attitudes and perceived implementation of traditional form-focused (FFI) instruction and communicative meaning-oriented instruction (MOI) of English.
33,"This paper evaluates two methods to evolve neural networks architectures, one carried out with genetic algorithm and a second one carry out with differential evolution algorithm. The object of this study is to try to improve the final forecasting getting an accurate system.The research reported here has been supported by the Spanish Ministry of Science and Innovation under project TRA2007-67374-C02-02"
34,The goal is to help users to easily apply SVM to their applications.
35,
36,
37,In this thesis we investigate the application of array methods for the smoothing of  multi-dimensional arrays with particular reference to mortality data.
38,
39,
40,"In this paper, we introduce an automated approach to extract time series features based on time series imaging."
41,"In the words of the authors, the goal of this book was to ""bring together many of the important new ideas in learning, and explain them in a statistical framework."" The aim is to discover types of products often purchased together. A strength of the book is the attempt to organize a plethora of methods into a coherent whole."
42,
43,In this paper we discuss how the development of this broader theory and treatment arose from focusing on those patients who did not respond well to earlier versions of the treatment.
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,Part I: What We Know About Binge-Eating Disorder and its Treatment.
54,The purpose of this study was to test and compare the original and extended model using prospective data.
55,
56,
57,
58,"We aimed to assess the temporal relation among stressful events, negative affect, and bulimic events in the natural environment using ecological momentary assessment."
59,
60,
61,The purpose of this article is to describe mediating variables and moderating variables and provide reasons for integrating them in outcome studies. The primary focus is on mediating and moderating variables for intervention research but many issues apply to nonintervention research as well.
62,
63,
64,
65,This study examined the efficacy of guided self-help based on dialectical behaviour therapy (DBTgsh) for binge eating disorder (BED).
66,
67,
68,
69,"This paper aims to explore the design, prevalence and effectiveness of credit risk transfer (CRT). The focus is on the costs and benefits for the efficiency and stability of the financial system."
70,
71,"This paper contributes to the economics of financial institutions risk management by exploring how loan securitization a.ects their default risk, their systematic risk, and their stock prices."
72,"Their purpose was partly to present results from an ongoing joint research project and partly to stimulate some interaction of discussion of banking regulation between academics, bankers, and regulators (in alphabetical order)."
73,The most important change is a shift in governance from state to the market. These challenges - put in a comparative and interdisciplinary perspective - are the subject of the book.
74,I investigate the effect of wealth on consumption in a new dataset with financial and housing wealth from 16 countries.
75,
76,This paper develops a theory of financial intermediation based on minimizing the cost of monitoring information which is useful for resolving incentive problems between borrowers and lenders. The paper presents some more general analysis of the effect of diversification on resolving incentive problems.
77,
78,
79,This paper examines the allocation of credit in a market in which borrowers have greater information concerning their own riskiness than do lenders.
80,
81,"In this article, we consider the debate regarding the future of hedge fund regulation, building the case that regulatory reform to constrain excessive leverage must be applied in equal measure to all financial market participants, not just hedge funds. The challenge for regulators is to carefully craft a regime of transparency and disclosure which minimises the potential for systemic risk without jeopardising the financial innovation and entrepreneurship that is emblematic of the hedge fund sector.Griffith Business School, Department of Accounting, Finance and EconomicsFull Tex"
82,
83,
84,One way of dealing with this is to end a conference in a Panel discussion.
85,
86,
87,
88,Abstract Our proposal is concerned with the relation between an aspect of phonology (linearization) and syntax.
89,
90,"In four essays, Chomsky attempts to situate linguistic theory in the broader cognitive sciences, with the essays formulating and progressively developing the minimalist approach to linguistic theory. With this book, Chomsky built on pursuits from the earliest days of generative grammar to formulate a new research program that had far-reaching implications for the field."
91,
92,We aimed to do a pragmatic efficacy trial in older inpatients who would be representative of those admitted to National Health Service (NHS) and similar secondary care institutions and to recruit a sufficient number of patients to generate a definitive result.
93,
94,
95,
96,
97,
98,
99,
