,refs
48,This study evaluated the effects of a group learning program on patients with chronic musculoskeletal pain and high absenteeism and investigates what characterizes those patients who may benefit from such a program.
49,
50,
51,
52,
53,"In this review, I present the evidence for the reduced reproductive effort life histories of primates and discuss the ways that such life-history tactics are understood in contemporary theory. I discuss recent applications of life-history theory to human evolution and emphasize the continuity between models used to explain peculiarities of human reproduction and senescence with the long, slow life histories of primates more generally"
54,
55,"Abstract Polar cod and capelin are key species in Arctic and sub-Arctic marine food webs, respectively, and the objective of this study is to compare and contrast the two species."
56,
57,
58,
59,
60,"In this review, we explore the selection pressures on growth and the resultant evolution of growth from a mechanistic viewpoint."
61,
62,
63,
64,
65,This study investigates the phenomenon of spontaneous recovery through qualitative methodology.
66,"Objective To systematically review recent smoking cessation research in Australia, a nation advanced in tobacco control, to determine what is known about smokers who quit unassisted in order to (1) inform a research agenda to develop greater understanding of the many smokers who quit unassisted and (2) elucidate possible lessons for policy and mass communication about cessation."
67,"The aim of this study was to investigate the attitudes of Chinese adolescents toward smoking, giving up smoking, and smoking cessation programs presently available."
68,
69,"Abstract This study is an attempt towards better understanding of a natural process of recovery. It presents an investigation of recovery without treatment (or natural recovery) from tobacco, snuff (snus), drug and alcohol abuse. The purpose of this exploratory study was to investigate how people manage to recover from addictions without formal treatment and if there are common factors and coping strategies for resolution."
70,
71,"Our aim was to gain  insights that may help general practitioners understand why people smoke, and why smokers stop and then remain quitting and, from this, to find fruitful approaches to the dialogue about stopping smoking."
72,"The purpose of this study is to systematically review the literature to determine what proportion of adult smokers report attempting to quit unassisted in population-based studies.A four stage strategy was used to conduct a search of the literature including searching 9 electronic databases (PUBMED, MEDLINE (OVID) (1948-), EMBASE (1947-), CINAHL, ISI Web of Science with conference proceedings, PsycINFO (1806-), Scopus, Conference Papers Index, and Digital Dissertations), the gray literature, online forums and hand searches.A total of 26 population-based prevalence studies of unassisted quitting were identified, which presented data collected from 1986 through 2010, in 9 countries."
73,AIMS To gain a greater understanding of the process of unplanned attempts to quit smoking and the use of support in such attempts.
74,
75,
76,"To advance the goal of increasing successful cessation at the population level, it is imperative that we understand more about smokers' use of cessation methods, as well as the helpfulness of those methods in real-world experiences of quitting."
77,
78,
79,"In this paper I analyze Dancy's and Parfit's argument, provide a humean reply, describe the implications of that reply for the humean view and give some examples of normatively self determining desires"
80,
81,
82,
83,"In this paper we review the research literature that has investigated unaided smoking cessation in order to better understand the quitting process, to identify useful strategies for prospective quitters, and to provide suggestions for professionally based interventions."
84,
85,
86,"We aimed to compare three methods for appraising qualitative research papers that were candidates for inclusion in a systematic review of evidence on support for breast-feeding.A sample of 12 research papers on support for breast-feeding was appraised by six qualitative reviewers using three appraisal methods: unprompted judgement, based on expert opinion; a UK Cabinet Office quality framework; and CASP, a Critical Appraisal Skills Programme tool."
87,
88,AIM To explore whether measures of motivation to quit smoking have different predictive relationships with making quit attempts and the maintenance of those attempts.
89,"The aims are to (a) investigate the prevalence of and reasons for premature discontinuation of stop-smoking medications (including prescription only) and (b) how these differ by type, duration of use, and source (prescription or OTC).The sample includes 1,219 smokers or recent quitters who had used medication in the last year (80.5% NRT, 19.5% prescription only)."
90,"It gathers evidence and produces advice for policy makers, professionals and practitioners, working alongside them to get evidence into practice."
91,
92,OBJECTIVES The aims of this review were to assess the effectiveness of advice from physicians in promoting smoking cessation; to compare minimal interventions by physicians with more intensive interventions; to assess the effectiveness of various aids to advice in promoting smoking cessation and to determine the effect of anti-smoking advice on disease-specific and all-cause mortality.
93,
94,"OBJECTIVES To evaluate the effect of telephone support to help smokers quit, including proactive or reactive counselling, or the provision of other information to smokers calling a helpline."
95,
96,
97,
98,The objective of this study was to develop optimal search strategies to retrieve qualitative studies in CINAHL for the 2000 publishing year.
99,Search strategies that can easily and effectively retrieve these studies from large databases such as PsycINFO are therefore important.
