background,objective,reference
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. CONTEXT The US Food and Drug Administration recently recommended that CYP2C19 genotyping be considered prior to prescribing clopidogrel, but the American Heart Association and American College of Cardiologists have argued evidence is insufficient to support CYP2C19 genotype testing. DATA SOURCES PubMed and EMBASE from their inception to October 2011. Other limitations included selective outcome reporting and potential for genotype misclassification due to problems with the * allele nomenclature for cytochrome enzymes. Patients with loss of function polymorphism in the CYP2C19 gene are less responsive to clopidogrel [5, 6], although the importance of this phenomenon remains controversial [#CITATION_TAG] [8] [9] [10] and may be limited to the risk of stent thrombosis [11].","STUDY SELECTION Studies that reported clopidogrel metabolism, platelet reactivity or clinically relevant outcomes (cardiovascular disease [CVD] events and bleeding), and information on CYP2C19 genotype were included. DATA EXTRACTION We extracted information on study design, genotyping, and disease outcomes and investigated sources of bias. Six studies were randomized trials (""effect-modification"" design) and the remaining 26 reported individuals exposed to clopidogrel (""treatment-only"" design).",['OBJECTIVE To appraise evidence on the association of CYP2C19 genotype and clopidogrel response through systematic review and meta-analysis.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Among them, CYP2C19, a CYP enzyme whose activity is determined genetically, contributes predominantly to this bioactivation [3, #CITATION_TAG] and modulates the antiplatelet and therapeutic response to clopidogrel.","In the in vitro experiments using cDNA-expressed human P450 isoforms, clopidogrel was metabolized to 2-oxo-clopidogrel, the immediate precursor of its pharmacologically active metabolite. CYP1A2, CYP2B6, and CYP2C19 catalyzed this reaction. In the same system using 2-oxo-clopidogrel as the substrate, detection of the active metabolite of clopidogrel required the addition of glutathione to the system. Secondly, the contribution of each P450 involved in both oxidative steps was estimated by using enzyme kinetic parameters.",['The aim of the current study is to identify the human cytochrome P450 (P450) isoforms involved in the two oxidative steps in the bioactivation of clopidogrel to its pharmacologically active metabolite.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. This test -also referred to as the VASP index -specifically assesses the activity of the P2Y12 receptor [31] (the target of clopidogrel antiplatelet action), and is widely used for monitoring the responsiveness to clopidogrel [32, #CITATION_TAG].","For pharmacokinetic analysis, blood was drawn at 0, 20, 40, 60, 90, 120, 180, 240 and 360 min after clopidogrel loading and peak plasma concentrations (C(max)) of the AMC were quantified with liquid chromatography-tandem mass spectrometry (LC-MS/MS). Platelet function testing was performed at baseline and 360 min after the clopidogrel loading.The VASP-assay, the VerifyNow P2Y12-assay and 20 micromol L(-1) adenosine diphosphate (ADP)-induced light transmittance aggregometry (LTA) showed strong correlations with C(max) of the AMC (VASP: R(2) = 0.56, P < 0.001; VerifyNow platelet reactivity units (PRU): R(2) = 0.48, P < 0.001; VerifyNow %inhibition: R(2) = 0.59, P < 0.001; 20 micromol L(-1) ADP-induced LTA: R(2) = 0.47, P < 0.001).",['Multiple platelet function tests claim to be P2Y12-pathway specific and capable of capturing the biological activity of clopidogrel.The aim of the present study was to determine which platelet function test provides the best reflection of the in vivo plasma levels of the active metabolite of clopidogrel (AMC).Clopidogrel-naive patients scheduled for elective percutaneous coronary intervention (PCI) received a 600 mg loading dose of clopidogrel and 100 mg of aspirin.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Aspirin-clopidogrel antiplatelet dual therapy is widely prescribed worldwide, with PPIs frequently associated to prevent gastrointestinal bleeding. Concerns about PPI and clopidogrel interaction were raised when omeprazole was found to inhibit the antiplatelet effect of clopidogrel in an in vivo study of 124 patients undergoing elective coronary stent implantation [#CITATION_TAG].","METHODS: In this double-blind placebo-controlled trial, all consecutive patients undergoing coronary artery stent implantation received aspirin (75 mg/day) and clopidogrel (loading dose, followed by 75 mg/day) and were randomized to receive either associated omeprazole (20 mg/day) or placebo for 7 days.",['International audienceOBJECTIVES: This trial sought to assess the influence of omeprazole on clopidogrel efficacy.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. High on-clopidogrel platelet reactivity (HCPR) and high on-aspirin platelet reactivity (HAPR) are associated with atherothrombotic events following coronary stenting. There are, however, few data concerning high on-treatment platelet reactivity to both aspirin and clopidogrel simultaneously. HCPR and HAPR were established by receiver-operator characteristic curve analysis. The VASP index is considered as a specific test for evaluating P2Y12 inhibition, while light-transmission aggregometry is used to predict outcome during dual antiplatelet therapy, although both tests have a predictive value [31, 33, 39, #CITATION_TAG].",,['The aim of the present study was to determine the incidence of dual high on-treatment platelet reactivity (DAPR) and its impact on clinical outcome.On-treatment platelet reactivity was measured in parallel by ADP- and arachidonic acid-induced light transmittance aggregometry (LTA) (n=921) and the point-of-care VerifyNow system (P2Y12 and aspirin) (n=422) in patients on dual antiplatelet therapy undergoing elective stent implantation.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. (A Study of the Effects of Multiple Doses of Dexlansoprazole, Lansoprazole, Omeprazole or Esomeprazole on the Pharmacokinetics and Pharmacodynamics of Clopidogrel in Healthy Participants; NCT00942175 However, it was recently demonstrated that generation of clopidogrel active metabolite and inhibition of platelet function are reduced less by the co-administration of dexlansoprazole or lansoprazole with clopidogrel than by the co-administration of esomeprazole or omeprazole [#CITATION_TAG].","However, PPIs may inhibit CYP2C19, potentially reducing the effectiveness of clopidogrel.MethodsA randomized, open-label, 2-period, crossover study of healthy subjects (n = 160, age 18 to 55 years, homozygous for CYP2C19 extensive metabolizer genotype, confined, standardized diet) was conducted.","['ObjectivesThe aim of this study was to assess the effects of different proton pump inhibitors (PPIs) on the steady-state pharmacokinetics and pharmacodynamics of clopidogrel.BackgroundMetabolism of clopidogrel requires cytochrome P450s (CYPs), including CYP2C19.']"
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Data Synthesis: Recent attention has been placed on a potential interaction observed between clopidogrel and the widely used PPIs. However, this may not be a class effect. Rabeprazole is mainly metabolized by nonenzymatic reduction to rabeprazole thioether [41] and is a less potent inhibitor of CYP2C19 than omeprazole [14, #CITATION_TAG, 43].","In addition, reference citations from publications identified in the search were reviewed. Articles were selected if they were published in English and focused on any of the key words or appeared to have substantial content addressing the drug interaction. In situations in which both clopidogrel and a PPI are indicated, pantoprazole should be used since it is the PPI least likely to interact with clopidogrel.",['Objective: To evaluate the interaction between clopidogrel and proton pump inhibitors (PPIs).']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Proton pump inhibitors are used extensively for the treatment of gastric acid-related disorders because they produce a greater degree and longer duration of gastric acid suppression and, thus, better healing rates, than histamine H2 receptor antagonists. The need for long-term treatment of these disorders raises the potential for clinically significant drug interactions in patients receiving proton pump inhibitors and other medications. Proton pump inhibitors can modify the intragastric release of other drugs from their dosage forms by elevating pH (e.g. Proton pump inhibitors also influence drug absorption and metabolism by interacting with adenosine triphosphate-dependent P-glycoprotein (e.g. inhibiting digoxin efflux) or with the cytochrome P450 (CYP) enzyme system (e.g. decreasing simvastatin metabolism), thereby affecting both intestinal first-pass metabolism and hepatic clearance.Although interactions based on the change of gastric pH are a group-specific effect and thus may occur with all proton pump inhibitors, individual proton pump inhibitors differ in their propensities to interact with other drugs and the extent to which their interaction profiles have been defined. The interaction profiles of omeprazole and pantoprazole have been studied most extensively. A number of studies have shown that omeprazole carries a considerable potential for drug interactions, since it has a high affinity for CYP2C19 and a somewhat lower affinity for CYP3A4. Although the interaction profiles of esomeprazole, lansoprazole and rabeprazole have been less extensively investigated, evidence suggests that lansoprazole and rabeprazole seem to have a weaker potential for interactions than omeprazole.Although only a few drug interactions involving proton pump inhibitors have been shown to be of clinical significance, the potential for drug interactions should be taken into account when choosing a therapy for gastric acid-related disorders, especially for elderly patients in whom polypharmacy is common, or in those receiving a concomitant medication with a narrow therapeutic index. Rabeprazole is mainly metabolized by nonenzymatic reduction to rabeprazole thioether [41] and is a less potent inhibitor of CYP2C19 than omeprazole [14, 42, #CITATION_TAG].",reducing the antifungal activity of ketoconazole).,"['Therefore, it is important to understand the mechanisms for drug interactions in this setting.']"
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. In the target population, clopidogrel is usually prescribed with aspirin, and it has been suggested that inhibition of antiplatelet effect may result from an interaction of PPIs with aspirin absorption [#CITATION_TAG, 45], independent of the interaction with clopidogrel [46, 47].",Platelet activation was assessed by soluble serum P-selectin.,['Objective To evaluate the effect of proton pump inhibitors (PPIs) on the platelet response to aspirin in patients with coronary artery disease (CAD).']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. BACKGROUND Controversy remains on whether the dual use of clopidogrel and proton-pump inhibitors (PPIs) affects clinical efficacy of clopidogrel. PATIENTS All patients discharged after first-time myocardial infarction from 2000 to 2006. In the target population, clopidogrel is usually prescribed with aspirin, and it has been suggested that inhibition of antiplatelet effect may result from an interaction of PPIs with aspirin absorption [44, 45], independent of the interaction with clopidogrel [#CITATION_TAG, 47].","DESIGN A nationwide cohort study based on linked administrative registry data. Patients were examined at several assembly time points, including 7, 14, 21, and 30 days after myocardial infarction.",['OBJECTIVE To examine the risk for adverse cardiovascular outcomes related to concomitant use of PPIs and clopidogrel compared with that of PPIs alone in adults hospitalized for myocardial infarction.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Emerging data suggests that several proton pump inhibitors (PPIs), including omeprazole, might interfere with the antiplatelet action of clopidogrel. However, there is a lack of data for rabeprazole. To our knowledge, only one study has compared the effects of omeprazole and rabeprazole on the antiplatelet action of clopidogrel in patients on dual antiplatelet therapy [#CITATION_TAG].","Forty three and 44 patients were randomized to receive omeprazole 20 mg and rabeprazole 20 mg once daily, respectively, for at least 2 weeks. Adenosine 5-diphosphate 20 umol/L-induced platelet aggregation was performed before and after PPIs treatment. Mean maximal platelet aggregation (MPA) before and after PPIs treatment of both groups were compared. Use of these agents resulted in a similar degree of interference on clopidogrel's action, as measured by ADP-induced platelet aggregation.","['This study aimed to investigate and compare the impact of omeprazole and rabeprazole on the antiplatelet action of clopidogrel among patients with coronary artery disease (CAD).A prospective, randomized, open-labeled study was conducted among 87 CAD patients receiving clopidogrel and aspirin.']"
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Context High on-treatment platelet reactivity is associated with atherothrombotic events following coronary stent implantation. Design, Setting, and Patients Prospective, observational, single-center cohort study of 1069 consecutive patients taking clopidogrel undergoing elective coronary stent implantation between December 2005 and December 2007. The VASP index is considered as a specific test for evaluating P2Y12 inhibition, while light-transmission aggregometry is used to predict outcome during dual antiplatelet therapy, although both tests have a predictive value [31, 33, #CITATION_TAG, 40].","On-treatment platelet reactivity was measured in parallel by light transmittance aggregometry, Verify Now P2Y12 and Platelet works assays, and the IMPACT-R and the platelet function analysis system (PFA-100) (with the Dade PFA collagen/adenosine diphosphate (ADP) cartridge and Innovance PFA P2Y). Cutoff values for high on-treatment platelet reactivity were established by receiver operating characteristic curve (ROC) analysis.",['Objective To evaluate the capability of multiple platelet function tests to predict clinical outcome.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. The concomitant use of proton pump inhibitors (PPIs) with clopidogrel is suspected to be associated with an adverse impact on clinical outcomes in patients with coronary artery disease. Whether this occurs with all PPIs or is even of significant amplitude with omeprazole remains a matter of debate [9, [24] [#CITATION_TAG] [26] [27] [28] [29].","Patients were categorized into 2 groups: those taking a PPI [PPI (+), n=751] and those not taking a PPI [PPI (-), n=1900] at discharge. In addition, propensity-matched analysis was performed in 685 pairs of patients. The PPI (+) group was older and had more comorbid conditions than the PPI (-) group.",['We sought to evaluate whether the use of PPIs with clopidogrel was associated with worse clinical outcomes after percutaneous coronary intervention (PCI) compared with the use of clopidogrel alone.We studied 2651 consecutive patients discharged alive after coronary stenting for stable or unstable coronary artery disease between 2001 and 2007.']
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Patients receiving dual antiplatelet treatment with aspirin and clopidogrel are commonly treated with proton pump inhibitors (PPIs). Attenuating effects on platelet response to clopidogrel have been reported solely for the PPI omeprazole. Whether this occurs with all PPIs or is even of significant amplitude with omeprazole remains a matter of debate [9, [24] [25] [26] [27] [28] [#CITATION_TAG].","PPIs differ in their metabolisation properties as well as their potential for drug-drug interactions. In a cross-sectional observational study, consecutive patients under clopidogrel maintenance treatment (n = 1,000) scheduled for a control coronary angiography were enrolled. Adenosine diphosphate (ADP)-induced platelet aggregation (in AU*min) was measured with multiple electrode platelet aggregometry (MEA). Attenuating effects of concomitant PPI treatment on platelet response to clopidogrel were restricted to the use of omeprazole. Specifically designed and randomized clinical studies are needed to define the impact of concomitant PPI treatment on adverse events after percutaneous coronary intervention.","['The aim of this study was to investigate the impact of different PPIs (pantoprazole, omeprazole, esomeprazole) on platelet response to clopidogrel in patients with previous coronary stent placement under chronic clopidogrel treatment.']"
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Dual antiplatelet therapy with aspirin and clopidogrel has been shown to reduce subsequent cardiac events in patients with acute coronary syndrome or coronary artery stenting. Clopidogrel, a thienopyridine, is a prodrug that is transformed in vivo to an active metabolite by the cytochrome P450 (CYP) enzyme system. The genes encoding CYP enzymes are polymorphic. Recent data demonstrated patients carrying a genetic variant of CYP enzymes (e.g. Furthermore, concomitant gastrointestinal ulcer prophylaxis with a proton pump inhibitor (PPI) is commonly prescribed to patients because of the increased risk of bleeding with dual antiplatelet therapy. Patients with loss of function polymorphism in the CYP2C19 gene are less responsive to clopidogrel [#CITATION_TAG, 6], although the importance of this phenomenon remains controversial [7] [8] [9] [10] and may be limited to the risk of stent thrombosis [11].",PPIs are extensively metabolized by the cytochrome P450 system and have been associated with decreased antiplatelet activity of clopidogrel.,"['In this review, we will discuss the impact of CYP450 enzymes genetic variation and CYP450 pathway drug-drug interactions in pharmacological and clinical response to clopidogrel.2009 Elsevier Inc. All rights reserved.']"
"-Several studies have suggested that proton-pump inhibitors (PPIs), mostly omeprazole, interact with clopidogrel efficacy by inhibiting the formation of its active metabolite via CYP2C19 inhibition. Whether this occurs with all PPIs is a matter of debate. Whether this occurs with all PPIs or is even of significant amplitude with omeprazole remains a matter of debate [9, [#CITATION_TAG] [25] [26] [27] [28] [29].",Comparisons were made between proton pump inhibitor use and non-use.,['OBJECTIVE: To measure the association between use of proton pump inhibitors and a range of harmful outcomes in patients using clopidogrel and aspirin.']
